rho L L_q W_q
0.000000 0.000000 0.000000 0.000000 0.000000
0.010000 0.010000 0.010153 0.000106 0.010582
0.020000 0.020000 0.020541 0.000413 0.020584
0.030000 0.030000 0.031085 0.000941 0.031289
0.040000 0.040000 0.041781 0.001678 0.041925
0.050000 0.050000 0.052752 0.002649 0.052923
0.060000 0.060000 0.063999 0.003863 0.064329
0.070000 0.070000 0.075472 0.005305 0.075684
0.080000 0.080000 0.087030 0.006961 0.086989
0.090000 0.090000 0.098988 0.008924 0.099117
0.100000 0.100000 0.111206 0.011139 0.111355
0.110000 0.110000 0.123676 0.013656 0.124158
0.120000 0.120000 0.136465 0.016441 0.136989
0.130000 0.130000 0.149451 0.019464 0.149681
0.140000 0.140000 0.162856 0.022843 0.163138
0.150000 0.150000 0.176611 0.026576 0.177143
0.160000 0.160000 0.190465 0.030561 0.191047
0.170000 0.170000 0.204848 0.034936 0.205527
0.180000 0.180000 0.219544 0.039656 0.220328
0.190000 0.190000 0.234433 0.044627 0.234878
0.200000 0.200000 0.249851 0.050036 0.250129
0.210000 0.210000 0.265613 0.055849 0.265932
0.220000 0.220000 0.282206 0.062223 0.282614
0.230000 0.230000 0.298812 0.068773 0.298814
0.240000 0.240000 0.315767 0.075814 0.315747
0.250000 0.250000 0.333241 0.083304 0.333134
0.260000 0.260000 0.351116 0.091197 0.350705
0.270000 0.270000 0.369709 0.099777 0.369421
0.280000 0.280000 0.388556 0.108704 0.388194
0.290000 0.290000 0.408143 0.118228 0.407615
0.300000 0.300000 0.428347 0.128422 0.428066
0.310000 0.310000 0.448734 0.138821 0.447808
0.320000 0.320000 0.469482 0.149742 0.468092
0.330000 0.330000 0.491951 0.162120 0.491383
0.340000 0.340000 0.514094 0.174347 0.512957
0.350000 0.350000 0.537622 0.187884 0.537006
0.360000 0.360000 0.561658 0.201900 0.561027
0.370000 0.370000 0.586209 0.216529 0.585476
0.380000 0.380000 0.611708 0.231992 0.610680
0.390000 0.390000 0.638544 0.248773 0.638045
0.400000 0.400000 0.665495 0.265751 0.664558
0.410000 0.410000 0.693379 0.283679 0.692103
0.420000 0.420000 0.722575 0.302902 0.721414
0.430000 0.430000 0.753985 0.324322 0.754396
0.440000 0.440000 0.786523 0.346506 0.787290
0.450000 0.450000 0.818830 0.368727 0.819093
0.460000 0.460000 0.851549 0.391744 0.851615
0.470000 0.470000 0.885437 0.415638 0.884344
0.480000 0.480000 0.922813 0.443040 0.922981
0.490000 0.490000 0.960041 0.470118 0.959273
0.500000 0.500000 1.000214 0.500129 0.999819
0.510000 0.510000 1.041116 0.530963 1.040567
0.520000 0.520000 1.081174 0.561370 1.079339
0.530000 0.530000 1.127047 0.597273 1.126726
0.540000 0.540000 1.171640 0.632092 1.170577
0.550000 0.550000 1.225030 0.674895 1.226365
0.560000 0.560000 1.272936 0.712966 1.272635
0.570000 0.570000 1.320533 0.750993 1.317412
0.580000 0.580000 1.376243 0.796504 1.372940
0.590000 0.590000 1.433795 0.844226 1.430718
0.600000 0.600000 1.496535 0.896739 1.494157
0.610000 0.610000 1.561436 0.951542 1.559386
0.620000 0.620000 1.629909 1.009748 1.627674
0.630000 0.630000 1.700962 1.070835 1.698824
0.640000 0.640000 1.776972 1.136634 1.774796
0.650000 0.650000 1.852307 1.202465 1.849527
0.660000 0.660000 1.938336 1.278724 1.937343
0.670000 0.670000 2.026666 1.356976 2.025045
0.680000 0.680000 2.122261 1.442237 2.119995
0.690000 0.690000 2.222794 1.532873 2.220756
0.700000 0.700000 2.332953 1.632799 2.331277
0.710000 0.710000 2.444221 1.734131 2.441234
0.720000 0.720000 2.560705 1.841216 2.557047
0.730000 0.730000 2.690811 1.961284 2.686379
0.740000 0.740000 2.829070 2.089891 2.824447
0.750000 0.750000 2.987304 2.237784 2.983211
0.760000 0.760000 3.146456 2.386780 3.139459
0.770000 0.770000 3.333007 2.563204 3.327274
0.780000 0.780000 3.545920 2.765751 3.543332
0.790000 0.790000 3.744658 2.954874 3.738657
0.800000 0.800000 3.974269 3.174934 3.967829
0.810000 0.810000 4.237261 3.427866 4.230963
0.820000 0.820000 4.546318 3.726508 4.542364
0.830000 0.830000 4.867008 4.037070 4.861395
0.840000 0.840000 5.257096 4.417061 5.255144
0.850000 0.850000 5.627023 4.777265 5.617770
0.860000 0.860000 6.151598 5.290925 6.146234
0.870000 0.870000 6.642544 5.772264 6.629986
0.880000 0.880000 7.330205 6.450094 7.325033
0.890000 0.890000 8.074232 7.184040 8.066735
0.900000 0.900000 9.104702 8.204410 9.109364
0.910000 0.910000 10.162785 9.252705 10.161363
0.920000 0.920000 11.544173 10.624211 11.542478
0.930000 0.930000 13.423449 12.492580 13.419878
0.940000 0.940000 15.860085 14.919967 15.863157
0.950000 0.950000 19.036825 18.086562 19.026630
